  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 152    3    0  100.00 100.00     5      5    5      0      3     3   100.00
 153    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 154    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 155    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 156    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 157    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 158    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 159    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 160    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 161    3    0  100.00 100.00     4      4    4      0      3     2    66.67
 162    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 163    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 164    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 165    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 166    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 167    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 168    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 169    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 170    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 171    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 172    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 173    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 174    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 175    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 176    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 177    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 178    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 179    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 180    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 181    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 182    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 183    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 184    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 185    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 186    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 187    3    0  100.00 100.00     4      4    4      0      3     2    66.67
 188    5    0  100.00 100.00     6      6    6      0      5     5   100.00
 189    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 190    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 191    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 192    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 193    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 194    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 195    2    0  100.00 100.00     3      3    3      0      2     2   100.00
